run,strategy,part,x_mm,y_mm,angle,fill_pct,waste_mm2
0,area,0,0.000,0.000,0,1.986,3062945.938
0,area,1,24.080,27.995,270,1.986,3062945.938
0,area,2,52.075,27.995,270,1.986,3062945.938
0,area,3,80.071,27.995,270,1.986,3062945.938
0,area,4,108.066,27.995,270,1.986,3062945.938
0,area,5,136.061,3.915,0,1.986,3062945.938
0,area,6,209.061,84.415,270,1.986,3062945.938
0,area,7,289.561,84.415,250,1.986,3062945.938
0,area,8,354.107,84.415,270,1.986,3062945.938
0,area,9,434.607,84.415,260,1.986,3062945.938
0,area,10,507.894,11.724,350,1.986,3062945.938
0,area,11,612.062,7.915,350,1.986,3062945.938
0,area,12,716.230,4.107,350,1.986,3062945.938
0,area,13,820.398,0.298,0,1.986,3062945.938
0,area,14,922.012,0.298,0,1.986,3062945.938
0,area,15,1023.625,0.298,0,1.986,3062945.938
0,area,16,1323.625,0.298,0,1.986,3062945.938
0,area,17,1623.625,0.298,0,1.986,3062945.938
0,area,18,1923.625,0.298,0,1.986,3062945.938
0,area,19,1023.625,36.312,0,1.986,3062945.938
