run,strategy,part,x_mm,y_mm,angle,fill_pct,waste_mm2
0,area,0,0.000,0.000,0,1.986,3062945.938
0,area,8,24.080,0.000,0,1.986,3062945.938
0,area,2,97.080,0.000,0,1.986,3062945.938
0,area,5,121.160,0.000,0,1.986,3062945.938
0,area,6,194.160,0.000,0,1.986,3062945.938
0,area,1,267.160,0.000,0,1.986,3062945.938
0,area,7,291.240,0.000,0,1.986,3062945.938
0,area,9,364.240,0.000,0,1.986,3062945.938
0,area,10,437.240,0.000,0,1.986,3062945.938
0,area,11,538.854,0.000,0,1.986,3062945.938
0,area,3,640.467,0.000,0,1.986,3062945.938
0,area,4,664.547,0.000,0,1.986,3062945.938
0,area,12,688.627,0.000,0,1.986,3062945.938
0,area,13,790.240,0.000,0,1.986,3062945.938
0,area,14,891.854,0.000,0,1.986,3062945.938
0,area,15,437.240,39.495,0,1.986,3062945.938
0,area,16,737.240,39.495,0,1.986,3062945.938
0,area,17,437.240,75.510,0,1.986,3062945.938
0,area,18,737.240,75.510,0,1.986,3062945.938
0,area,19,24.080,80.500,0,1.986,3062945.938
